Cuba, 21744, 1482.32
Madagascar, 24482, 1782.88
Bhutan, 18536, 1810.03
Burkina, 15675, 938.893
Madagascar, 5738, 1151.94
India, 30433, 549.116
Aruba, 17219, 760.038
Liberia, 31518, 1636.58
Gambia, 14425, 168.571
Moldova, 9390, 1826.73
Yemen, 25946, 862.553
Azerbaijan, 7463, 1154.31
Afghanistan, 29919, 1389.34
Djibouti, 20049, 781.659
Mongolia, 316, 236.348
Iceland, 2742, 196.265
Iceland, 8564, 1872.65
Albania, 17997, 187.884
Guinea-Bissau, 3980, 526.342
Algeria, 7772, 204.281
Tajikistan, 24751, 1251.84
Bhutan, 7128, 501.017
Colombia, 7399, 532.719
Germany, 7667, 1487.48
Cuba, 18257, 753.965
Congo, 17048, 1736.42
India, 26901, 1473.7
Gambia, 254, 1681.46
Bulgaria, 16530, 1257.86
Madagascar, 3744, 1417.7
Burkina, 9075, 933.063
Yemen, 8509, 1192.81
Japan, 15791, 1822.54
Yemen, 16554, 1717.66
Uruguay, 28831, 1302.56
Marshall Islands, 12692, 1386.55
Spain, 31923, 1111.86
Barbados, 7829, 106.989
Afghanistan, 9573, 1809.61
Indonesia, 5917, 181.082
France, 29316, 1154.55
Bangladesh, 21536, 514.56
Austria, 25322, 1929.55
Austria, 139, 660.377
Spain, 9265, 1935.38
Iceland, 6120, 1403.01
Gambia, 32790, 1195.06
Barbados, 22465, 1545.73
Vietnam, 31611, 188.309
Armenia, 20639, 1743.47
Nicaragua, 27718, 1310.57
Italy, 27059, 1058.6
Kuwait, 25249, 786.396
Bahamas, 13966, 1195.49
Afghanistan, 30514, 1553.44
France, 24699, 926.322
Bahrain, 13167, 368.318
Benin, 11597, 1642.53
Azerbaijan, 10780, 1331.65
Georgia, 27582, 270.843
Kuwait, 17800, 1348.29
Ukraine, 20928, 321.372
Nicaragua, 7737, 879.012
Chile, 13121, 1954.94
Burkina, 10227, 27.8552
Liberia, 30804, 1595.47
Japan, 31844, 27.0049
Indonesia, 28614, 1223.36
Australia, 20964, 986.629
Ethiopia, 6011, 1789.62
Angola, 4608, 1954.94
Russian Federation, 17964, 1105.42
Afghanistan, 22220, 1470.78
Russian Federation, 23140, 1997.87
Israel, 10029, 1957.18
Uruguay, 16582, 535.391
Bhutan, 27042, 1935.5
Iceland, 22527, 1289.68
Azerbaijan, 559, 1959.8
Canada, 763, 1647.03
Vanuatu, 15219, 391.7
Belarus, 10800, 1348.04
Vietnam, 17434, 974.664
Slovenia, 4894, 109.539
Moldova, 295, 841.905
India, 24914, 834.009
Bahrain, 2754, 233.493
Bangladesh, 22159, 981.041
Iraq, 11413, 1415.52
Iceland, 4078, 560.959
Guatemala, 994, 1049.79
Iraq, 7186, 65.6304
Vietnam, 9418, 449.516
Argentina, 27324, 1754.1
India, 23946, 321.736
Tajikistan, 20590, 1111.98
Iraq, 2453, 54.5164
Cuba, 14554, 566.607
Mongolia, 16333, 1523.68
Germany, 14665, 878.344
Austria, 20054, 1630.87
Eswatini, 4171, 930.391
Mongolia, 15275, 328.842
Bulgaria, 21058, 461.966
Iraq, 14343, 735.928
Japan, 6833, 1151.33
Austria, 23356, 521.301
Slovakia, 10320, 788.704
Nicaragua, 2698, 1638.04
Brazil, 24142, 206.103
Slovakia, 16158, 1430.03
Taiwan, 20314, 859.152
Serbia, 28981, 1246.32
Indonesia, 18232, 1043.6
Moldova, 29984, 602.621
France, 19990, 429.232
Ukraine, 28315, 562.72
Bahrain, 27868, 1124.43
Kuwait, 29742, 711.878
Russian Federation, 7206, 1839.67
Argentina, 24476, 1306.38
Liberia, 20405, 1233.38
Iceland, 27007, 732.587
India, 3696, 733.073
Albania, 23982, 84.7001
Yemen, 2892, 909.378
Albania, 17149, 181.81
Vanuatu, 19901, 173.551
Slovakia, 3181, 1443.45
Marshall Islands, 14450, 1574.82
Belarus, 8948, 440.042
Bhutan, 13204, 96.4821
Serbia, 7777, 478.728
Denmark, 31676, 1631.36
Russian Federation, 10495, 106.26
Bangladesh, 10584, 584.28
Marshall Islands, 7438, 123.265
Vietnam, 31808, 623.27
Armenia, 15406, 245.032
Dominica, 26016, 745.402
Chile, 16449, 1850.9
Russian Federation, 16013, 715.218
Trinidad & Tobago, 17019, 557.558
Bangladesh, 9174, 1842.16
Azerbaijan, 24728, 1080.28
Barbados, 8175, 695.602
Vanuatu, 29038, 345.422
Bahamas, 12819, 425.466
Bulgaria, 20819, 1643.08
Taiwan, 28132, 602.803
Ukraine, 9231, 1219.6
Costa Rica, 28984, 21.1139
Congo, 11609, 996.589
Brazil, 21976, 244.729
India, 25100, 1541.72
Afghanistan, 9040, 1256.28
Bulgaria, 25485, 346.576
Guinea-Bissau, 10536, 1749.36
Ethiopia, 1067, 1442.18
Bahrain, 9253, 960.089
Dominica, 3667, 1310.15
Brazil, 12630, 1407.26
Australia, 8689, 440.771
Algeria, 26656, 1918.68
Brazil, 25180, 1494.35
Brazil, 4232, 842.816
Algeria, 13458, 544.44
Costa Rica, 23909, 136.808
Congo, 16569, 370.869
Oman, 27207, 885.51
Guatemala, 6940, 828.604
Nepal, 2863, 1036.61
Madagascar, 14366, 1951.78
Slovenia, 20596, 218.007
Colombia, 27615, 356.354
Eswatini, 2920, 1596.92
Bhutan, 374, 1766.61
Kosovo, 12429, 1972.97
Armenia, 16158, 1411.51
Trinidad & Tobago, 14988, 1802.14
Kuwait, 17320, 366.678
Serbia, 15650, 603.897
Australia, 24316, 49.8401
Austria, 14782, 315.36
Bhutan, 10919, 1006.61
Japan, 3985, 1953.54
Trinidad & Tobago, 2208, 1716.02
